poi_id,distance_to_building,match_type,confidence,names_left,basic_category,building_id_right
5edf7d90-4810-4943-95ff-6d29bd7cb349,58.25984567479251,nearest,low,"{'common': None, 'primary': 'Canyon Park', 'rules': None}",park,9931b3ea-1d8b-47e8-b3d5-9f99d7ed0652
1b66ef8e-b07f-4eb0-8926-359194beee4a,57.90400298538596,nearest,low,"{'common': None, 'primary': 'Boulder Creek', 'rules': None}",river,f0072092-ab70-45d5-a8b1-6683238cad10
93d6479a-f3ac-480b-8a10-0b1369cc2a51,51.642240206838416,nearest,low,"{'common': None, 'primary': 'Mount Sanitas Trailhead', 'rules': None}",recreational_trail_or_path,92f6175f-770f-4be4-8058-5c9b59009079
b895125d-4a71-41d6-a056-819101f5e8e2,42.13716690481347,nearest,low,"{'common': None, 'primary': 'CU Book Store', 'rules': None}",books_music_and_video_store,283c1f49-37f1-4585-a216-d58e6ec2a0d2
b08f73c0-343d-4a3e-96ed-51fec9883e74,42.13716690481347,nearest,low,"{'common': None, 'primary': 'Elevations Credit Union', 'rules': None}",bank_or_credit_union,283c1f49-37f1-4585-a216-d58e6ec2a0d2
a6609d27-9ae3-4d94-b06c-426303fe6fdd,40.79090103568815,nearest,low,"{'common': None, 'primary': 'University of Colorado Boulder', 'rules': None}",college_university,b6f2fbbb-4e24-42e8-bb76-f046b8dfaa16
fb498670-0c41-4b41-b497-830bbf5f59a8,40.76996775913838,nearest,low,"{'common': None, 'primary': 'Varsity Lake', 'rules': None}",lake,8b6a8ca6-354c-4899-871b-d77a9511646e
f7e5196f-4c61-49e9-88a7-575221cbbb29,40.407441726924795,nearest,low,"{'common': None, 'primary': 'William A. Wise Law Library, University of Colorado Law School', 'rules': array([], dtype=object)}",library,78c308a4-306e-4f0c-bd16-7e1d858d661d
b7a2a2d5-398d-4529-8268-c49593ecd287,39.086297769400986,nearest,low,"{'common': None, 'primary': 'Porchlight Therapy and Addiction', 'rules': None}",behavioral_or_mental_health_clinic,c9dd6811-6ce8-4d53-8bad-ae4cfe43766a
f104f0f7-1e66-41b8-9587-99ffa620ac6e,37.792576301560544,nearest,low,"{'common': None, 'primary': 'Norlin Quadrangle', 'rules': None}",park,27175a45-6e91-4e6f-a400-30d085c7ef20
25c4f610-04fa-43ae-a821-ef4d22d83e96,36.76531178891324,nearest,low,"{'common': None, 'primary': 'University of Colorado Boulder Family Programs', 'rules': None}",college_university,192c496a-f1ef-4541-9a03-6b7852f7a1e8
0dc71ed5-f6ca-42e4-8ffe-475c6d20e9b7,36.47955563228732,nearest,low,"{'common': None, 'primary': 'The Peoples’ Crossing', 'rules': None}",recreational_trail_or_path,cfbd9550-b55a-49a4-94dc-56601ce3c50a
c7d189b8-e91e-49d8-8c79-2d9a1f2761e7,35.819621197331124,nearest,low,"{'common': None, 'primary': 'Recht Field, Boulder', 'rules': None}",stadium_arena,b6bbd98e-9f94-42d1-af69-d1d2f2b1c019
1fe3358f-b3ce-4833-8347-fa068f9223fc,34.77347634833343,nearest,low,"{'common': None, 'primary': 'Joel L Schaffer, DDS', 'rules': None}",dental_clinic,7f82cf7e-5389-4c9c-8d46-10466589b54d
5d1e49aa-5c04-47e0-8f0b-3c2662837cc8,33.533983896990065,nearest,low,"{'common': None, 'primary': 'Plan Ahead Events Boulder', 'rules': None}",event_or_party_service,ccf162c6-c4e2-4075-bd88-7465a0a01c26
f3236df8-2434-4610-b8c9-39c932196d13,33.533983896990065,nearest,low,"{'common': None, 'primary': 'Simon Mole Mediation, LLC', 'rules': None}",,ccf162c6-c4e2-4075-bd88-7465a0a01c26
b7200a15-69af-48d8-b215-5cfaf9ec0823,33.533983896990065,nearest,low,"{'common': None, 'primary': ""Nest Children's Boutique in Boulder"", 'rules': None}",fashion_and_apparel_store,ccf162c6-c4e2-4075-bd88-7465a0a01c26
8d61b3ca-bf2f-4df0-9209-d0d2796e86ac,33.53398389296181,nearest,low,"{'common': None, 'primary': 'Kumon Math & Reading Center of Boulder', 'rules': None}",tutoring_service,ccf162c6-c4e2-4075-bd88-7465a0a01c26
781d78ed-95ab-47f0-bc99-42da8426d64b,33.19661726756685,nearest,low,"{'common': None, 'primary': 'Academy Mapleton Hill', 'rules': None}",,4ffa132c-5251-451c-94b2-202b43e27320
c3ab958c-56e3-43af-a4f7-7ac55adc6d2d,33.19661726756685,nearest,low,"{'common': None, 'primary': 'CU Sports Medicine', 'rules': None}",specialized_health_care,4ffa132c-5251-451c-94b2-202b43e27320
2975755b-ad34-4479-8619-4d5534d76a14,32.57499957920522,nearest,low,"{'common': None, 'primary': 'Wisdom of the Womb', 'rules': None}",,9d777fa7-1d4a-4ae8-a74a-f15cd500327c
25bb67dd-ad97-4758-86a0-fd464aaf9ce6,32.47289839016331,nearest,low,"{'common': None, 'primary': 'Boulder Creek Path', 'rules': None}",park,b6bbd98e-9f94-42d1-af69-d1d2f2b1c019
024b39b0-052e-4bf7-9e5a-d4a123ab3d2d,31.877853032956775,nearest,low,"{'common': None, 'primary': 'Greenleaf Park', 'rules': None}",park,150a7e78-5322-453d-9e83-b72fe0fc68d6
96667818-bfc3-4f89-ae18-785534baa3fe,31.684643537478433,nearest,low,"{'common': None, 'primary': 'HeartMind Relationships', 'rules': None}",,0f43659b-2ae3-4d07-9b15-419c2a9479ba
4528bdb4-9db3-4131-b2f0-3821b4daa236,31.519077706347158,nearest,low,"{'common': None, 'primary': 'North Boulder Park Baseball Field', 'rules': None}",park,8b17619f-e258-4409-8539-5874e1c3b096
e04054b3-6869-4b57-81c6-25ee23d217cc,31.220908625993616,nearest,low,"{'common': None, 'primary': 'Wells Fargo', 'rules': array([], dtype=object)}",bank_or_credit_union,7ca54d8c-6e9d-4ca4-b823-1ec0434b4a04
59a56712-b471-48a8-b896-e87bd4ee79f0,31.031453726114812,nearest,low,"{'common': None, 'primary': 'Enchanted Mesa Trail', 'rules': None}",park,b992d24a-b17a-4b42-b6a2-c4b94cbe25c5
f5551a8c-1606-40ae-8252-e798064b5106,30.88811666420301,nearest,low,"{'common': None, 'primary': 'Christian Recht Field', 'rules': None}",,538718e4-a5e1-4933-b71d-9c0f8c30bf20
d71aef7e-4f16-424c-a1ce-132517a817a3,30.666110087198994,nearest,low,"{'common': None, 'primary': 'Boulder National Park', 'rules': None}",park,2556b1dd-1a40-4228-8671-80b56e114700
bc75727c-44b0-4f17-a297-e94903cde983,30.41873872644248,nearest,low,"{'common': None, 'primary': 'Dr. John Carsen - Cardiologist PhD Heart Health Advisory', 'rules': None}",,5bd7a203-02c3-4fee-8d9f-f89a315701ee
6ba7c974-b068-4074-8152-be5ec96ddcb5,30.4020017817363,nearest,low,"{'common': None, 'primary': 'Jahn & Associates', 'rules': None}",attorney_or_law_firm,333be737-29b6-41bd-a7ab-e7105dc7dab3
7e6a4bc0-960c-44e0-a35b-b76353d8c8d8,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Mathnasium', 'rules': None}",specialty_store,348740c2-d4cd-4e8a-97bb-58990a0baae4
06798867-315b-4c29-9ac4-d30969db5b58,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Pak Mail', 'rules': None}",b2b_transportation_and_storage_service,348740c2-d4cd-4e8a-97bb-58990a0baae4
1519ee10-fcc6-4ad9-88a4-6d945eca194f,30.3984915623158,nearest,low,"{'common': None, 'primary': ""Grandrabbit's Toy Shoppe"", 'rules': None}",toys_and_games_store,348740c2-d4cd-4e8a-97bb-58990a0baae4
9cabdb6c-9edf-4dea-9b00-5652f044c695,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Cured Nutrition', 'rules': None}",supplier_or_distributor,348740c2-d4cd-4e8a-97bb-58990a0baae4
87df057a-0667-409e-a747-842e7ed8a81b,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Boulder Colorado', 'rules': None}",,348740c2-d4cd-4e8a-97bb-58990a0baae4
b6c22a8e-39f2-48aa-9f55-661ea870ab80,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Planned Parenthood - Boulder Health Center', 'rules': None}",outpatient_care_facility,348740c2-d4cd-4e8a-97bb-58990a0baae4
6ae9ab8f-f6ab-4120-adc8-47f22cb2ccd9,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Core Progression Elite Personal Training', 'rules': None}",,348740c2-d4cd-4e8a-97bb-58990a0baae4
31472f2a-7a7e-4f44-9109-2fb1a521339b,30.3984915623158,nearest,low,"{'common': None, 'primary': 'UPS Access Point location', 'rules': None}",shipping_or_delivery_service,348740c2-d4cd-4e8a-97bb-58990a0baae4
2415fe1c-3b65-4bc5-ba74-64d4fdbb3494,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Rocky Mountain Tennis Center / Tennis Center of The Rockies', 'rules': None}",,348740c2-d4cd-4e8a-97bb-58990a0baae4
f03b9f0b-d4ed-4145-b11f-6dbee39f45bd,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Boulder Ski Deals', 'rules': None}",sporting_goods_store,348740c2-d4cd-4e8a-97bb-58990a0baae4
6b2040aa-e168-4d42-b594-a73d649d1373,30.3984915623158,nearest,low,"{'common': None, 'primary': 'barre3', 'rules': None}",fitness_studio,348740c2-d4cd-4e8a-97bb-58990a0baae4
5b5ebc16-1e27-4933-8962-52113ca8a97a,30.3984915623158,nearest,low,"{'common': None, 'primary': 'UPS Authorized Shipping Outlet', 'rules': None}",shipping_or_delivery_service,348740c2-d4cd-4e8a-97bb-58990a0baae4
187ea8ef-6ab1-4d63-98e0-f84fa4f851e7,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Vail Resorts Retail', 'rules': None}",,348740c2-d4cd-4e8a-97bb-58990a0baae4
e7652d26-d153-4868-b967-757fc5969f82,30.3984915623158,nearest,low,"{'common': None, 'primary': 'Dependable Cleaners', 'rules': None}",laundry_service,348740c2-d4cd-4e8a-97bb-58990a0baae4
aa4c3aab-c57e-4f2f-b566-1a637badf013,30.338191638692354,nearest,low,"{'common': None, 'primary': 'Central Park', 'rules': None}",park,74596957-bb2c-460b-8244-0fa4f8c0552f
9547a2da-c7c8-40a3-9625-0b393dad9fd4,30.236577348435265,nearest,low,"{'common': None, 'primary': 'Kittredge Lake', 'rules': None}",lake,a0309ac6-afa5-4e84-a75d-a5c3c2933c94
bf8612ce-3e90-4447-832e-ef79d9de9a10,29.855541566555647,nearest,low,"{'common': None, 'primary': 'Mattress Firm', 'rules': None}",,a420ca4a-2b80-49fc-8df1-7b0e2b20ba71
64e87d1b-f8e7-4afd-a21a-f3be17a24cf1,29.675479600554326,nearest,low,"{'common': None, 'primary': 'Boulder Creek Bike Path', 'rules': None}",park,332d6626-1264-45f2-801c-eea9ca0845de
d9ccace1-e229-4af5-8156-58367a85c4e1,29.536213024166788,nearest,low,"{'common': None, 'primary': 'Farrand Field', 'rules': None}",sport_field,aae09af6-d182-4bec-aa9b-035e5b51aef7
dc52ad24-1115-4ee6-a9ab-6539b560f9d2,29.315876029351887,nearest,low,"{'common': None, 'primary': 'Rocky Mountain Tech Team', 'rules': None}",telecommunications_service,a420ca4a-2b80-49fc-8df1-7b0e2b20ba71
6ac84960-60b8-4ae6-b1a9-b48ea0312ee6,29.257418752961183,nearest,low,"{'common': None, 'primary': 'Halfway House Trailhead', 'rules': None}",recreational_trail_or_path,765dfb50-b49f-4b71-8f4d-193a6cacf056
c0e41158-4fcc-4519-a436-d2b8e414a2b0,28.98766363686569,nearest,low,"{'common': None, 'primary': 'THC Urgent Care', 'rules': None}",urgent_care_center,943c1a84-716f-4e55-9444-4cb531745d42
55a376d2-819d-4e20-9cc5-de902682f88f,28.98766363686569,nearest,low,"{'common': None, 'primary': ""Domino's Pizza"", 'rules': None}",restaurant,943c1a84-716f-4e55-9444-4cb531745d42
