poi_id,basic_category,eligibility
a9d429ad-6ba6-43e2-b28f-ce45a6f442e6,cafe,building_based
b376ea15-1dfc-44b7-baee-c77a5a63bd13,restaurant,building_based
712b75ec-0627-4dda-a1d3-a31058dece55,atm,uncertain
b9c7efde-8977-4dd7-b557-41f2679b386a,smoothie_juice_bar,uncertain
a657fc1f-ce2e-447d-8d6f-443ab2102307,bank_or_credit_union,building_based
2b28882f-086a-4cb4-9ca7-6d7269d2d3b6,technical_service,building_based
a3a88f68-8bb8-48f2-bd06-a9c385a3340f,coffee_shop,building_based
6c943ea2-0242-48d6-b217-448d42106058,,uncertain
c5ef40de-c1a4-42ef-bd3e-27ccc3a31a23,social_or_community_service,building_based
9db143e4-bc81-46d3-acd5-50488bf32e6a,restaurant,building_based
5fea227b-1135-4b15-8187-c2b31d0c9f87,attorney_or_law_firm,building_based
5068548b-201d-4536-bff0-3214f3bb9f2b,,uncertain
530238d4-482b-4992-980e-3ac2f1cd5a49,library,building_based
0bc3f576-9949-49dc-ad3b-0baa6fb101b8,bar,building_based
b364c7db-f5f4-41e1-9e8b-b9ba8a61fc47,,uncertain
35df4e7c-f8bc-497c-a12c-8b13c7591063,bar,building_based
d71aef7e-4f16-424c-a1ce-132517a817a3,park,site_based
256fa21a-47f7-42e5-8947-e96a3eb6011b,mountain,uncertain
7c40ed49-ebeb-4352-bf6b-1485c939af19,recreational_trail_or_path,site_based
b8f04868-1b35-4a8a-8596-f4220838d344,historic_site,uncertain
6ac84960-60b8-4ae6-b1a9-b48ea0312ee6,recreational_trail_or_path,site_based
5c883bfc-5ed2-456c-9cc7-ccb83bf8f47a,movie_theater,building_based
4f360746-4866-4e6e-af53-aae69623f34a,restaurant,building_based
927a19f6-fa04-4858-974a-ec10be7a1ad4,preschool,uncertain
cff70793-bf9c-4819-9154-59a7af96eeaa,sport_or_fitness_facility,uncertain
e938f5b6-4ece-4c73-9a37-53ca49bbbe7b,print_media_service,uncertain
534c56bd-02ff-4bba-b8e0-193550295ce8,elementary_school,uncertain
f8bc0885-4454-416a-8ea0-5cbad263c97d,social_or_community_service,building_based
62432f76-1dda-4ae2-84d8-fd3e183f8e22,social_or_community_service,building_based
e8ad43a0-c9b0-415f-863f-16fb2d493ad9,,uncertain
eef27d97-6b89-47c6-811b-83c5e3b552e2,personal_or_beauty_service,building_based
afe098ba-dee7-4002-923e-5337df17dfb1,home_service,building_based
0a268d22-b702-4434-b0ad-cf2894eb7dc2,,uncertain
bab19758-e28a-4998-bdcf-cfa1b46ada05,social_or_community_service,building_based
d55514e5-9640-4ad2-8eea-3d5d9d708d6d,restaurant,building_based
